gameId,playId,specialTeamsPlayType,specialTeamsResult,kickLength,kickReturnYardage,snapDetail,snapTime,operationTime,hangTime,kickType,kickDirectionIntended,kickDirectionActual
2018090900,1973,Field Goal,Kick Attempt Good,39,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,2097,Punt,Muffed,58,NA,OK,0.9,2.2,4.67,N,C,C
2018090900,2616,Punt,Non-Special Teams Result,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,2757,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,2899,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,2996,Punt,Out of Bounds,46,NA,OK,0.78,2.1,2.78,N,C,C
2018090900,3079,Punt,Return,46,6,OK,0.84,2.21,4.06,N,C,C
2018090900,3461,Field Goal,Kick Attempt Good,35,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,3655,Punt,Return,50,9,OK,0.86,2.25,4.07,N,L,L
2018090900,3851,Punt,Return,54,0,>,0.94,2.25,3.23,N,R,R
2018090900,4220,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090900,4325,Punt,Fair Catch,43,NA,OK,0.85,2.08,3.8,A,R,R
2018090900,4464,Punt,Out of Bounds,54,NA,L,0.9,2.25,3.84,A,L,L
2018090901,118,Punt,Out of Bounds,31,NA,OK,0.89,2.22,3.53,N,L,L
2018090901,313,Punt,Touchback,48,NA,OK,0.86,2.07,4.13,A,C,C
2018090901,474,Punt,Downed,43,NA,OK,0.9,2.26,4,N,L,L
2018090901,588,Punt,Return,47,22,OK,0.9,2.17,4.02,N,C,C
2018090901,887,Punt,Return,52,0,OK,0.87,2.19,4.77,N,C,C
2018090901,1254,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,1491,Punt,Return,39,4,OK,0.77,2.06,3.92,A,L,L
2018090901,1723,Punt,Downed,37,NA,OK,0.84,2.06,3.9,A,R,R
2018090901,2286,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,2473,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,2632,Punt,Return,45,20,OK,0.89,2.25,3.86,N,C,C
2018090901,2708,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,2907,Punt,Fair Catch,33,NA,OK,0.86,2.14,4.22,A,L,L
2018090901,3215,Punt,Fair Catch,22,NA,OK,0.94,2.28,4.08,A,L,L
2018090901,3349,Punt,Out of Bounds,57,NA,OK,0.92,2.3,4.25,N,R,R
2018090901,3463,Punt,Downed,36,NA,OK,0.99,2.37,4.57,N,R,R
2018090901,3799,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,3960,Punt,Out of Bounds,34,NA,OK,0.86,2.09,4.21,N,R,R
2018090901,4136,Punt,Return,51,15,L,0.94,2.31,4.1,N,C,C
2018090901,4214,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,4352,Punt,Fair Catch,39,NA,OK,0.9,2.28,4.81,N,C,C
2018090901,4648,Punt,Fair Catch,49,NA,OK,0.85,2.17,4.34,N,R,R
2018090901,4833,Punt,Fair Catch,53,NA,OK,0.91,2.27,4.98,N,C,C
2018090901,4965,Punt,Out of Bounds,29,NA,H,0.94,2.23,2.95,N,L,L
2018090901,5191,Field Goal,Kick Attempt No Good,42,NA,NA,NA,NA,NA,NA,NA,NA
2018090901,5480,Field Goal,Blocked Kick Attempt,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,394,Field Goal,Kick Attempt Good,42,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,757,Field Goal,Kick Attempt Good,21,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,1110,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,1574,Field Goal,Kick Attempt Good,38,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,1777,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,2084,Field Goal,Kick Attempt Good,51,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,2228,Punt,Return,49,-1,OK,0.9,2.14,4.14,N,L,L
2018090902,2340,Punt,Downed,50,NA,OK,0.87,2.21,4.45,N,L,L
2018090902,2849,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,3135,Field Goal,Kick Attempt No Good,55,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,3440,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,3547,Punt,Fair Catch,46,NA,OK,0.95,2.19,5.08,N,C,C
2018090902,3873,Field Goal,Kick Attempt Good,39,NA,NA,NA,NA,NA,NA,NA,NA
2018090902,4260,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,240,Field Goal,Kick Attempt Good,47,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,407,Punt,Touchback,62,NA,H,0.92,2.25,4.85,N,L,L
2018090903,1094,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,1257,Punt,Out of Bounds,40,NA,OK,0.83,2.05,3.22,N,R,R
2018090903,1844,Punt,Return,55,-1,OK,0.75,2.05,4.09,N,R,R
2018090903,1993,Punt,Return,45,26,OK,0.91,2.07,3.4,N,C,C
2018090903,2094,Punt,Fair Catch,35,NA,OK,0.79,2.11,4.12,A,L,L
2018090903,2176,Punt,Return,65,18,L,1.07,2.33,4.57,N,C,C
2018090903,2661,Field Goal,Kick Attempt Good,27,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,2940,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,2976,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,3163,Punt,Return,49,2,OK,0.85,2.18,4.4,N,R,R
2018090903,3284,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,3690,Field Goal,Kick Attempt Good,30,NA,NA,NA,NA,NA,NA,NA,NA
2018090903,3982,Punt,Touchback,43,NA,OK,0.65,1.49,3.89,A,C,C
2018090903,4143,Field Goal,Kick Attempt Good,53,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,114,Punt,Downed,45,NA,OK,0.86,2.31,4.14,N,R,R
2018090905,248,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,359,Punt,Out of Bounds,36,NA,OK,0.89,2.12,3.92,N,L,L
2018090905,497,Punt,Fair Catch,40,NA,OK,0.88,2.2,4,A,C,C
2018090905,848,Field Goal,Kick Attempt Good,42,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,1158,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,1378,Field Goal,Kick Attempt Good,36,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,1555,Punt,Return,47,11,OK,0.9,2.27,4.18,N,C,C
2018090905,1735,Punt,Downed,40,NA,OK,0.92,2.23,4.15,N,C,C
2018090905,1992,Punt,Downed,30,NA,>,0.83,2.14,2.15,A,C,C
2018090905,2213,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,2393,Punt,Fair Catch,42,NA,OK,0.85,2.09,4.55,N,L,L
2018090905,2883,Field Goal,Kick Attempt Good,39,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,3166,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,3505,Field Goal,Kick Attempt Good,35,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,3669,Punt,Fair Catch,37,NA,OK,0.83,2.1,4.1,A,C,C
2018090905,3749,Punt,Return,55,9,OK,0.92,2.24,4.53,N,C,C
2018090905,3844,Punt,Muffed,48,NA,OK,0.74,2.04,4.44,N,C,C
2018090905,4073,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090905,4311,Punt,Downed,54,NA,OK,0.85,1.98,3.98,N,L,L
2018090906,240,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,383,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,830,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,992,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,1270,Field Goal,Kick Attempt Good,33,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,1373,Punt,Return,56,2,OK,0.93,2.13,4.77,N,C,C
2018090906,1674,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,1768,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,2094,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,2539,Field Goal,Kick Attempt Good,36,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,2681,Punt,Return,42,1,OK,0.76,2.07,3.83,N,R,R
2018090906,2776,Punt,Return,42,0,OK,0.87,2.17,4.46,N,C,C
2018090906,2947,Punt,Return,58,16,OK,0.9,2.23,4.59,N,L,L
2018090906,3080,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,3511,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090906,4096,Field Goal,Kick Attempt No Good,44,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,292,Field Goal,Kick Attempt Good,39,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,522,Punt,Downed,48,NA,OK,0.93,2.21,4.12,N,R,C
2018090907,801,Field Goal,Kick Attempt Good,27,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,1201,Field Goal,Kick Attempt Good,39,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,1340,Punt,Out of Bounds,31,NA,OK,0.96,2.36,4.48,N,L,L
2018090907,1485,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,1848,Field Goal,Kick Attempt Good,31,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,2248,Field Goal,Kick Attempt Good,44,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,2357,Punt,Out of Bounds,30,NA,OK,0.83,2.24,4.33,N,L,L
2018090907,2578,Punt,Downed,37,NA,OK,0.88,2.26,3.62,A,R,R
2018090907,2708,Punt,Return,55,0,OK,0.95,2.32,4.34,N,R,R
2018090907,2877,Punt,Out of Bounds,29,NA,OK,0.84,2.12,3.87,N,R,R
2018090907,3105,Punt,Touchback,59,NA,OK,0.97,2.31,4.68,N,R,R
2018090907,3215,Punt,Fair Catch,36,NA,OK,0.86,2.19,4.19,N,C,C
2018090907,3301,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090907,3497,Punt,Return,44,-1,OK,0.88,2.28,4.16,N,C,C
2018090907,3618,Punt,Return,54,10,OK,0.94,2.43,4.14,N,C,C
2018090907,3801,Punt,Return,47,5,OK,0.84,2.09,4.84,N,R,R
2018090907,4113,Punt,Muffed,41,NA,OK,0.87,2.07,3.87,N,C,C
2018090909,309,Punt,Fair Catch,38,NA,OK,0.68,1.94,4.41,A,C,C
2018090909,501,Punt,Touchback,60,NA,OK,0.72,1.99,4.71,N,R,R
2018090909,918,Punt,Return,57,12,OK,0.79,2.15,4.24,N,C,C
2018090909,1305,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090909,1416,Punt,Fair Catch,56,NA,OK,0.74,2.12,4.71,N,L,L
2018090909,1800,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090909,1990,Punt,Fair Catch,33,NA,OK,0.85,2.02,4.13,A,L,L
2018090909,2106,Punt,Return,55,0,OK,0.63,2.03,4.58,N,C,C
2018090909,2247,Punt,Return,57,0,OK,0.79,2.08,4.47,N,R,R
2018090909,2663,Punt,Fair Catch,34,NA,OK,0.65,2.03,4.35,A,C,C
2018090909,3089,Field Goal,Kick Attempt Good,31,NA,NA,NA,NA,NA,NA,NA,NA
2018090909,3706,Punt,Return,59,44,OK,0.66,2.07,4.57,N,C,C
2018090910,172,Punt,Fair Catch,55,NA,H,0.86,2.17,4.44,N,L,L
2018090910,700,Punt,Return,51,14,H,0.87,2.16,5.11,N,L,L
2018090910,966,Punt,Fair Catch,33,NA,L,0.86,2.11,4.37,A,C,C
2018090910,1047,Punt,Return,51,30,OK,0.91,2.14,4.77,N,C,C
2018090910,1236,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090910,1329,Punt,Return,49,3,H,0.87,2.23,4.79,N,R,R
2018090910,1448,Punt,Fair Catch,50,NA,OK,0.93,2.25,4.86,N,L,L
2018090910,1582,Punt,Return,56,15,OK,0.91,2.16,4.66,N,R,R
2018090910,2008,Field Goal,Kick Attempt Good,27,NA,NA,NA,NA,NA,NA,NA,NA
2018090910,2269,Punt,Fair Catch,50,NA,OK,0.9,2.2,4.79,N,L,L
2018090910,2467,Punt,Fair Catch,31,NA,OK,0.91,2.17,4.53,A,C,C
2018090910,2550,Punt,Return,50,15,OK,0.89,2.15,4.68,N,C,C
2018090910,2777,Field Goal,Kick Attempt No Good,47,NA,NA,NA,NA,NA,NA,NA,NA
2018090910,2976,Extra Point,Non-Special Teams Result,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090910,3477,Punt,Return,52,-2,OK,0.86,2.22,4.59,N,R,R
2018090910,3866,Punt,Touchback,52,NA,OK,0.85,2.08,4.64,N,C,C
2018090912,170,Punt,Out of Bounds,39,NA,OK,0.83,2.18,4.62,N,R,R
2018090912,443,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,583,Punt,Return,44,3,OK,0.91,2.03,4.32,N,C,C
2018090912,836,Field Goal,Kick Attempt Good,26,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,943,Punt,Fair Catch,51,NA,OK,0.83,2.28,4.58,N,C,R
2018090912,1055,Punt,Return,63,17,OK,0.74,2.22,4.65,N,C,C
2018090912,1149,Punt,Return,58,42,OK,0.79,2.1,4.86,N,C,C
2018090912,1577,Punt,Fair Catch,49,NA,OK,0.81,2.29,4.86,N,L,L
2018090912,1746,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,2143,Field Goal,Kick Attempt Good,33,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,2562,Punt,Fair Catch,48,NA,OK,0.71,2.04,5.05,N,C,C
2018090912,2795,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,2892,Punt,Fair Catch,41,NA,OK,0.81,2.24,4.05,N,C,C
2018090912,3050,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,3486,Field Goal,Kick Attempt Good,32,NA,NA,NA,NA,NA,NA,NA,NA
2018090912,3584,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,82,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,349,Punt,Fair Catch,40,NA,OK,0.9,2.03,4.48,A,L,L
2018091000,469,Punt,Return,55,43,OK,0.85,2.24,4.65,N,R,R
2018091000,657,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,946,Field Goal,Kick Attempt Good,35,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,1234,Field Goal,Kick Attempt No Good,55,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,1407,Punt,Downed,34,NA,OK,0.84,1.98,4.45,A,L,L
2018091000,1545,Punt,Return,45,16,<,0.84,2.27,4.24,N,C,C
2018091000,1692,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,2009,Field Goal,Kick Attempt Good,21,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,2221,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,2422,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,2517,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,2626,Punt,Return,52,78,OK,0.84,2.29,4.08,N,R,R
2018091000,2651,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,2825,Field Goal,Kick Attempt Good,32,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,3038,Field Goal,Kick Attempt No Good,44,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,3096,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091000,3527,Punt,Out of Bounds,38,NA,OK,0.92,2.05,4.14,N,L,L
2018091001,276,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,384,Punt,Return,62,10,OK,0.85,2.17,4.26,N,C,C
2018091001,499,Punt,Return,55,12,OK,0.84,1.98,4.58,N,L,L
2018091001,628,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,1110,Field Goal,Kick Attempt Good,24,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,1331,Field Goal,Kick Attempt No Good,46,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,1746,Field Goal,Kick Attempt Good,20,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,2144,Field Goal,Kick Attempt Good,48,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,2438,Field Goal,Kick Attempt Good,28,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,2597,Punt,Fair Catch,45,NA,H,1.03,2.36,4.52,N,C,C
2018091001,2761,Punt,Out of Bounds,55,NA,OK,0.84,2.19,4.66,N,L,L
2018091001,2840,Punt,Return,35,0,<,0.85,2.06,4.52,N,C,C
2018091001,2965,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,3121,Punt,Fair Catch,43,NA,H,0.97,2.32,4.61,N,L,L
2018091001,3870,Field Goal,Kick Attempt Good,20,NA,NA,NA,NA,NA,NA,NA,NA
2018091001,4002,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,122,Punt,Muffed,60,16,OK,0.8,2.19,4.06,N,R,R
2018091300,304,Punt,Return,55,-2,OK,0.87,2.1,5.06,N,C,C
2018091300,549,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,759,Punt,Touchback,50,NA,OK,0.92,2.01,4.2,A,C,C
2018091300,905,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,1023,Punt,Return,59,8,OK,1.08,2.33,4.87,N,C,C
2018091300,1421,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,1732,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,2155,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,2465,Punt,Fair Catch,43,NA,OK,0.9,2.21,4.17,N,R,R
2018091300,2752,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,2960,Punt,Downed,34,NA,OK,0.95,2.26,3.73,N,C,C
2018091300,3081,Field Goal,Kick Attempt Good,55,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,3261,Punt,Fair Catch,44,NA,OK,0.9,2.17,4.94,N,R,R
2018091300,3552,Punt,Downed,28,NA,OK,0.89,2.21,4.25,A,C,C
2018091300,3854,Punt,Fair Catch,37,NA,OK,0.9,2.1,4.24,N,R,R
2018091300,4460,Field Goal,Kick Attempt Good,28,NA,NA,NA,NA,NA,NA,NA,NA
2018091300,4707,Field Goal,Kick Attempt Good,40,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,460,Field Goal,Kick Attempt Good,44,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,773,Punt,Return,39,5,OK,0.87,2.26,3.95,N,C,C
2018091600,1427,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,1638,Punt,Downed,53,NA,OK,0.85,2.23,4.9,N,L,L
2018091600,1875,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,2116,Punt,Fair Catch,48,NA,OK,0.87,2.12,4.56,N,C,C
2018091600,2321,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,2551,Punt,Fair Catch,37,NA,OK,0.88,2.15,4.36,A,R,R
2018091600,2741,Punt,Touchback,42,NA,OK,0.86,2.29,4.45,A,L,C
2018091600,3074,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,3311,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,3530,Punt,Downed,44,NA,OK,0.93,2.32,4.52,A,L,C
2018091600,3682,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091600,3830,Punt,Return,54,4,OK,0.85,2.27,4.82,N,R,C
2018091601,121,Punt,Fair Catch,52,NA,OK,0.93,2.26,4.52,N,L,L
2018091601,205,Punt,Return,44,10,OK,0.88,2.17,3.56,N,C,C
2018091601,315,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,426,Punt,Return,42,6,OK,0.92,2.23,3.59,N,C,C
2018091601,602,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,1184,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,1289,Punt,Return,50,1,OK,0.84,2.08,4.88,N,C,C
2018091601,1750,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,1993,Field Goal,Kick Attempt Good,41,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,2328,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,2485,Punt,Muffed,66,NA,OK,0.97,2.33,4.69,N,C,C
2018091601,2813,Punt,Muffed,45,6,OK,0.91,2.31,3.85,N,L,C
2018091601,3005,Punt,Out of Bounds,35,NA,OK,0.87,2.35,4.14,N,R,R
2018091601,3210,Punt,Touchback,54,NA,OK,0.97,2.18,3.99,N,L,L
2018091601,3533,Punt,Downed,35,NA,OK,0.83,1.97,4.09,A,C,C
2018091601,3804,Field Goal,Kick Attempt Good,24,NA,NA,NA,NA,NA,NA,NA,NA
2018091601,4197,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,223,Punt,Fair Catch,44,NA,OK,0.86,2.13,5.02,N,R,C
2018091602,365,Punt,Blocked Punt,NA,NA,OK,0.97,2.22,NA,NA,NA,NA
2018091602,388,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,605,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,937,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,1091,Punt,Touchback,58,NA,OK,0.95,2.23,4.95,N,C,C
2018091602,1198,Punt,Fair Catch,63,NA,OK,0.95,2.23,5.51,N,R,R
2018091602,1330,Punt,Fair Catch,48,NA,OK,0.89,2.11,4.71,N,R,R
2018091602,1446,Punt,Return,59,13,OK,0.9,2.15,5.24,N,L,L
2018091602,1704,Field Goal,Kick Attempt No Good,48,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,1861,Field Goal,Kick Attempt Good,37,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,2311,Field Goal,Kick Attempt Good,40,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,2412,Punt,Return,46,0,OK,0.88,2.05,4.86,N,R,R
2018091602,2502,Punt,Downed,46,NA,OK,0.83,2.12,4.99,N,C,C
2018091602,2747,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,3066,Field Goal,Kick Attempt Good,31,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,3142,Extra Point,Kick Attempt Good,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,3483,Field Goal,Kick Attempt Good,48,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,3648,Field Goal,Kick Attempt Good,36,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,4088,Field Goal,Kick Attempt No Good,52,NA,NA,NA,NA,NA,NA,NA,NA
2018091602,4317,Field Goal,Kick Attempt No Good,49,NA,NA,NA,NA,NA,NA,NA,NA
